lon,lat,dist_costa_km,r_droga,r_pesca,r_poluicao,r_imigracao,ais_embarcacoes,ais_rotas
-10.600000000000001,39.250000000000036,113.78255903328893,0.06125,0.09411,0.17733,0.0003,0.23821,0.84852
-10.600000000000001,39.35000000000004,118.36513070721891,0.05048,0.0839,0.17541,0.0002,0.23005,0.84675
-10.600000000000001,39.45000000000004,122.94770238114921,0.04139,0.07132,0.16916,0.00012,0.21728,0.84507
-10.600000000000001,39.55000000000004,127.53027405507915,0.03386,0.06132,0.16165,8e-05,0.20318,0.84436
-10.600000000000001,39.65000000000004,132.11284572900945,0.0277,0.05987,0.15243,5e-05,0.18932,0.84482
-10.600000000000001,39.75000000000004,136.69541740293943,0.0227,0.07008,0.14043,3e-05,0.17668,0.8462
-10.600000000000001,39.850000000000044,141.27798907686972,0.01864,0.08745,0.12988,1e-05,0.16699,0.84855
-10.600000000000001,39.950000000000045,145.9459877340043,0.01534,0.10025,0.12655,1e-05,0.16148,0.85217
-10.600000000000001,40.05000000000005,147.64808919101037,0.01264,0.09868,0.12946,0.0,0.15914,0.85719
-10.600000000000001,40.15000000000005,148.73602247978624,0.01044,0.08348,0.13407,0.0,0.15794,0.86318
-10.600000000000001,40.25000000000005,149.82395576856217,0.00865,0.0635,0.13852,0.0,0.15696,0.86932
-10.600000000000001,40.35000000000005,151.08844579238763,0.0072,0.04752,0.14194,0.0,0.15601,0.87493
-10.600000000000001,40.45000000000005,152.98724640323724,0.00605,0.0401,0.14306,0.0,0.15492,0.8798
-10.600000000000001,40.550000000000054,154.97051022201433,0.00515,0.0446,0.14264,0.0,0.15389,0.88414
-10.600000000000001,40.650000000000055,156.9537740407916,0.00445,0.06609,0.1411,0.0,0.15316,0.88808
-10.600000000000001,40.75000000000006,158.93703785956865,0.0039,0.10512,0.1364,0.0,0.15238,0.89137
-10.600000000000001,40.85000000000006,160.92030167834588,0.00347,0.14842,0.12941,0.0,0.15138,0.89369
-10.600000000000001,40.95000000000006,162.55604822081088,0.00311,0.1733,0.12404,0.0,0.15036,0.8951
-10.600000000000001,41.05000000000006,161.26996143516888,0.0028,0.16722,0.1228,0.0,0.14954,0.89619
-10.600000000000001,41.15000000000006,159.57238289374618,0.0025,0.13911,0.12726,0.0,0.14869,0.89751
-10.600000000000001,41.250000000000064,157.88941991459174,0.00221,0.10689,0.13513,0.0,0.14662,0.89889
-10.600000000000001,41.350000000000065,156.72354844338625,0.00192,0.07959,0.13891,0.0,0.14202,0.89981
